timestamp,test-class,test-method,time,description,result
"2022-04-20 19:16:37.08","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",6468,""[1] recordIndex=0, type=TOOL, name=ASD-123, code=dshjhds, technology=https://www.leroymerlin.es/fp/81968467/maceta-3-8-cm, description=Martillo, retailPrice=12EUR, link=hchchc"","Expected value 'dshjhds' in attribute 1 of record 0, but found 'Martillo'"
"2022-04-20 19:16:41.144","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",3659,""[2] recordIndex=1, type=TOOL, name=JAY-715, code=Sierra circular con cable DEWALT de 1350 w y 5.332 kg de peso, technology=https://www.leroymerlin.es/fp/80145657/sierra-circular-con-cable-dewalt-de-1350-w-y-5-332-kg-de-peso, description=Sierra Electrica, retailPrice=163EUR, link=Electrico"","Expected value 'Sierra circular con cable DEWALT de 1350 w y 5.332 kg de peso' in attribute 1 of record 1, but found 'Sierra Electrica'"
"2022-04-20 19:16:45.224","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",3663,""[3] recordIndex=2, type=TOOL, name=PAI-432, code=Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya., technology=https://www.leroymerlin.es/fp/83611937/escalera-madera-extensible-villar, description=Escalera madera extensible VILLAR, retailPrice=309EUR, link=pintura"","Expected value 'Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya.' in attribute 1 of record 2, but found 'Escalera madera extensible VILLAR'"
