timestamp,test-class,test-method,time,description,result
"2022-04-23 16:50:45.283","acme.testing.inventor.item.InventorItemComponentListShowTest","positiveTest",7699,""[1] recordIndex=0, type=COMPONENT, code=NAI-112, description=40 clavo STANDERS de acero de 55 mm, link=https://www.leroymerlin.es/fp/15673406/40-clavo-standers-de-acero-de-55-mm, name=Clavos STANDERS 55mm, retailPrice=EUR 1.89, technology=technology"","OK"
"2022-04-23 16:50:51.091","acme.testing.inventor.item.InventorItemComponentListShowTest","positiveTest",5479,""[2] recordIndex=1, type=COMPONENT, code=OAK-013, description=Madera impresa Inspire Happy Place. Ideal para decorar cualquier estancia de tu casa gracias a su mensaje inspirador. La madera cuenta con certificado FSC que asegura su procedencia de bosques sostenibles. Medidas: 30 x 30 cm (ancho x alto)., link=https://www.leroymerlin.es/fp/84867736/madera-impresa-happy-place-30-x-30-cm-inspire, name=Madera impresa 30x30 cm, retailPrice=EUR 12.29, technology=madera"","OK"
"2022-04-23 16:50:57.612","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",5414,""[1] recordIndex=1, type=TOOL, code=ASD-123, description=dshjhds, link=https://www.leroymerlin.es/fp/81968467/maceta-3-8-cm, name=Martillo, retailPrice=EUR 12.00, technology=martillo"","OK"
"2022-04-23 16:51:01.567","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",3681,""[2] recordIndex=2, type=TOOL, code=JAY-715, description=SIERRA CIRCULAR CON CABLE DEWALT DE 1350 W Y 5.332 KG DE PESO, link=HTTPS://WWW.LEROYMERLIN.ES/FP/80145657/SIERRA-CIRCULAR-CON-CABLE-DEWALT-DE-1350-W-Y-5-332-KG-DE-PESO, name=SIERRA ELECTRICA, retailPrice=EUR 163.00, technology=ELECTRICO"","Expected value 'SIERRA ELECTRICA' in attribute 0 of record 2, but found 'Sierra Electrica'"
"2022-04-23 16:51:05.447","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",3351,""[3] recordIndex=0, type=TOOL, code=PAI-432, description=ESCALERA DE MADERA EXTENSIBLE INDICADA PARA MANTENIMIENTO INDUSTRIAL Y TELECOMUNICACIONES FABRICADA EN PINO Y PELDAÑO DE HAYA., link=HTTPS://WWW.LEROYMERLIN.ES/FP/83611937/ESCALERA-MADERA-EXTENSIBLE-VILLAR, name=ESCALERA MADERA EXTENSIBLE VILLAR, retailPrice=EUR 309.00, technology=PINTURA"","Expected value 'ESCALERA MADERA EXTENSIBLE VILLAR' in attribute 0 of record 0, but found 'Escalera madera extensible VILLAR'"
