timestamp,test-class,test-method,time,description,result
"2022-04-20 19:19:18.129","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",6479,""[1] recordIndex=0, type=TOOL, code=ASD-123, description=dshjhds, link=https://www.leroymerlin.es/fp/81968467/maceta-3-8-cm, name=Martillo, retailPrice=12EUR, technology=hchchc"","Expected value 'dshjhds' in attribute 2 of record 0, but found 'ASD-123'"
"2022-04-20 19:19:22.392","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",3894,""[2] recordIndex=1, type=TOOL, code=JAY-715, description=Sierra circular con cable DEWALT de 1350 w y 5.332 kg de peso, link=https://www.leroymerlin.es/fp/80145657/sierra-circular-con-cable-dewalt-de-1350-w-y-5-332-kg-de-peso, name=Sierra Electrica, retailPrice=163EUR, technology=Electrico"","Expected value 'Sierra circular con cable DEWALT de 1350 w y 5.332 kg de peso' in attribute 2 of record 1, but found 'JAY-715'"
"2022-04-20 19:19:26.537","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",3809,""[3] recordIndex=2, type=TOOL, code=PAI-432, description=Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya., link=https://www.leroymerlin.es/fp/83611937/escalera-madera-extensible-villar, name=Escalera madera extensible VILLAR, retailPrice=309EUR, technology=pintura"","Expected value 'Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya.' in attribute 2 of record 2, but found 'PAI-432'"
