timestamp,test-class,test-method,time,description,result
"2022-04-23 16:53:41.205","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",8386,""[1] recordIndex=1, type=TOOL, code=ASD-123, description=dshjhds, link=https://www.leroymerlin.es/fp/81968467/maceta-3-8-cm, name=Martillo, retailPrice=EUR 12.00, technology=martillo"","OK"
"2022-04-23 16:53:47.006","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",5436,""[2] recordIndex=2, type=TOOL, code=JAY-715, description=Sierra Electrica, link=https://www.leroymerlin.es/fp/80145657/sierra-circular-con-cable-dewalt-de-1350-w-y-5-332-kg-de-peso, name=Sierra Electrica, retailPrice=EUR 163.00, technology=Electrico"","Expected value 'Sierra Electrica' in input box 'description', but 'Sierra circular con cable DEWALT de 1350 w y 5.332 kg de peso' was found"
"2022-04-23 16:53:50.709","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",3372,""[3] recordIndex=0, type=TOOL, code=PAI-432, description=Escalera madera extensible VILLAR, link=https://www.leroymerlin.es/fp/83611937/escalera-madera-extensible-villar, name=Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya., retailPrice=EUR 309.00, technology=pintura"","Expected value 'Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya.' in attribute 0 of record 0, but found 'Escalera madera extensible VILLAR'"
