timestamp,test-class,test-method,time,description,result
"2022-04-20 19:14:07.422","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",6580,""[1] recordIndex=0, type=TOOL, name=ASD-123, code=dshjhds, technology=https://www.leroymerlin.es/fp/81968467/maceta-3-8-cm, description=Martillo, retailPrice=12EUR, link=hchchc"","Expected value 'dshjhds' in attribute 1 of record 0, but found 'Martillo'"
"2022-04-20 19:14:11.51","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",3679,""[2] recordIndex=1, type=TOOL, name=JAY-715, code=Sierra circular con cable DEWALT de 1350 w y 5.332 kg de peso, technology=https://www.leroymerlin.es/fp/80145657/sierra-circular-con-cable-dewalt-de-1350-w-y-5-332-kg-de-peso, description=Sierra Electrica, retailPrice=163EUR, link=Electrico"","Expected value 'Sierra circular con cable DEWALT de 1350 w y 5.332 kg de peso' in attribute 1 of record 1, but found 'Sierra Electrica'"
"2022-04-20 19:14:15.282","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",3406,""[3] recordIndex=2, type=COMPONENT, name=NAI-112, code=40 clavos STANDERS de acero de 55 mm, technology=https://www.leroymerlin.es/fp/15673406/40-clavo-standers-de-acero-de-55-mm, description=Clavos STANDERS 55mm, retailPrice=1.89EUR, link=technology"","Expected value 'COMPONENT' in attribute 0 of record 2, but found 'TOOL'"
"2022-04-20 19:14:18.961","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",3327,""[4] recordIndex=3, type=COMPONENT, name=OAK-013, code=Madera impresa Inspire Happy Place. Ideal para decorar cualquier estancia de tu casa gracias a su mensaje inspirador. La madera cuenta con certificado FSC que asegura su procedencia de bosques sostenibles. Medidas: 30 x 30 cm (ancho x alto)., technology=https://www.leroymerlin.es/fp/84867736/madera-impresa-happy-place-30-x-30-cm-inspire, description=Madera impresa 30x30 cm, retailPrice=12.29EUR, link=madera"","Record index 3 is out of range"
"2022-04-20 19:14:22.728","acme.testing.inventor.item.InventorItemToolListTest","positiveTest",3406,""[5] recordIndex=4, type=TOOL, name=PAI-432, code=Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya., technology=https://www.leroymerlin.es/fp/83611937/escalera-madera-extensible-villar, description=Escalera madera extensible VILLAR, retailPrice=309EUR, link=pintura"","Record index 4 is out of range"
