timestamp,test-class,test-method,time,description,result
"2022-04-23 16:56:04.219","acme.testing.inventor.item.InventorItemComponentListShowTest","positiveTest",7613,""[1] recordIndex=0, type=COMPONENT, code=NAI-112, description=40 clavo STANDERS de acero de 55 mm, link=https://www.leroymerlin.es/fp/15673406/40-clavo-standers-de-acero-de-55-mm, name=Clavos STANDERS 55mm, retailPrice=EUR 1.89, technology=technology"","OK"
"2022-04-23 16:56:09.941","acme.testing.inventor.item.InventorItemComponentListShowTest","positiveTest",5417,""[2] recordIndex=1, type=COMPONENT, code=OAK-013, description=Madera impresa Inspire Happy Place. Ideal para decorar cualquier estancia de tu casa gracias a su mensaje inspirador. La madera cuenta con certificado FSC que asegura su procedencia de bosques sostenibles. Medidas: 30 x 30 cm (ancho x alto)., link=https://www.leroymerlin.es/fp/84867736/madera-impresa-happy-place-30-x-30-cm-inspire, name=Madera impresa 30x30 cm, retailPrice=EUR 12.29, technology=madera"","OK"
"2022-04-23 16:56:16.391","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",5405,""[1] recordIndex=1, type=TOOL, code=ASD-123, description=dshjhds, link=https://www.leroymerlin.es/fp/81968467/maceta-3-8-cm, name=Martillo, retailPrice=EUR 12.00, technology=martillo"","OK"
"2022-04-23 16:56:22.08","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",5403,""[2] recordIndex=2, type=TOOL, code=JAY-715, description=Sierra circular con cable DEWALT de 1350 w y 5.332 kg de peso, link=https://www.leroymerlin.es/fp/80145657/sierra-circular-con-cable-dewalt-de-1350-w-y-5-332-kg-de-peso, name=Sierra Electrica, retailPrice=EUR 163.00, technology=Electrico"","OK"
"2022-04-23 16:56:25.671","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",3301,""[3] recordIndex=0, type=TOOL, code=PAI-432, description=Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya., link=https://www.leroymerlin.es/fp/83611937/escalera-madera-extensible-villar, name=Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya., retailPrice=EUR 309.00, technology=pintura"","Expected value 'Escalera de madera extensible indicada para mantenimiento industrial y telecomunicaciones fabricada en pino y peldaño de haya.' in attribute 0 of record 0, but found 'Escalera madera extensible VILLAR'"
