timestamp,test-class,test-method,time,description,result
"2022-05-23 16:37:45.947","acme.testing.patron.patronage.PatronPatronageListTest","positiveTest",12559,""[1] recordIndex=0, status=PROPOSED, code=EXA-120-M, legalStuff=No tiene términos legales, budget=EUR 47,765.00, creationDate=2022/03/15 10:00, startDate=2022/04/01 10:30, deadline=2022/11/01 20:30, info=https://www.google.es/, inventor=inventor1, patron=patron2"","OK"
"2022-05-23 16:37:55.044","acme.testing.patron.patronage.PatronPatronageListTest","positiveTest",8751,""[2] recordIndex=1, status=PROPOSED, code=EXA-121-M, legalStuff=No tiene términos legales pues se trata de un caso de prueba con muchos caracteres yo diría que el máximooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo, budget=EUR 497,965.00, creationDate=2022/03/15 10:00, startDate=2022/01/01 13:46, deadline=2022/11/01 20:30, info=https://www.google.es/, inventor=inventor1, patron=patron2"","OK"
"2022-05-23 16:38:03.572","acme.testing.patron.patronage.PatronPatronageListTest","positiveTest",8209,""[3] recordIndex=2, status=DENIED, code=EXA-122-M, legalStuff=X, budget=EUR 7,725.00, creationDate=2022/03/15 10:00, startDate=2022/04/01 10:30, deadline=2022/09/04 10:10, info=https://www.google.es/, inventor=inventor1, patron=patron2"","OK"
"2022-05-23 16:38:07.492","acme.testing.patron.patronage.PatronPatronageListTest","positiveTest",3583,""[4] recordIndex=3, status=PROPOSED, code=EXA-123-M, legalStuff=No tiene términos legales pues se trata de un caso de prueba con un número intermedio de caracteres para probar distintas longitudes, budget=EUR 1, creationDate=2022/03/15 10:00, startDate=2022/04/01 10:30, deadline=2022/12/03 20:10, info=https://www.google.es/, inventor=inventor1, patron=patron2"","Expected value 'EUR 1' in attribute 2 of record 3, but found 'EUR 1.00'"
"2022-05-23 16:38:16.532","acme.testing.patron.patronage.PatronPatronageListTest","positiveTest",8727,""[5] recordIndex=4, status=ACCEPTED, code=EXA-124-M, legalStuff=No tiene términos legales ni enlace de información extra, budget=EUR 4,105.00, creationDate=2022/03/15 10:00, startDate=2022/04/01 10:30, deadline=2022/10/01 20:30, info=null, inventor=inventor1, patron=patron2"","OK"
