timestamp,test-class,test-method,time,description,result
"2022-04-23 16:43:21.694","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",5197,""[1] recordIndex=0, type=TOOL, code=ASD-123, description=dshjhds, link=https://www.leroymerlin.es/fp/81968467/maceta-3-8-cm, name=Martillo, retailPrice=EUR 12.00, technology=hchchc"","Expected value 'Martillo' in attribute 0 of record 0, but found 'Escalera madera extensible VILLAR'"
"2022-04-23 16:43:25.473","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",3401,""[2] recordIndex=1, type=TOOL, code=JAY-715, description=SIERRA CIRCULAR CON CABLE DEWALT DE 1350 W Y 5.332 KG DE PESO, link=HTTPS://WWW.LEROYMERLIN.ES/FP/80145657/SIERRA-CIRCULAR-CON-CABLE-DEWALT-DE-1350-W-Y-5-332-KG-DE-PESO, name=SIERRA ELECTRICA, retailPrice=EUR 163.00, technology=ELECTRICO"","Expected value 'SIERRA ELECTRICA' in attribute 0 of record 1, but found 'Martillo'"
"2022-04-23 16:43:29.166","acme.testing.inventor.item.InventorItemToolListShowTest","positiveTest",3341,""[3] recordIndex=2, type=TOOL, code=PAI-432, description=ESCALERA DE MADERA EXTENSIBLE INDICADA PARA MANTENIMIENTO INDUSTRIAL Y TELECOMUNICACIONES FABRICADA EN PINO Y PELDAÑO DE HAYA., link=HTTPS://WWW.LEROYMERLIN.ES/FP/83611937/ESCALERA-MADERA-EXTENSIBLE-VILLAR, name=ESCALERA MADERA EXTENSIBLE VILLAR, retailPrice=EUR 309.00, technology=PINTURA"","Expected value 'ESCALERA MADERA EXTENSIBLE VILLAR' in attribute 0 of record 2, but found 'Sierra Electrica'"
